time	^HSI
1987-01-02	-0.01098000647733588
1987-01-05	0.004842251964341404
1987-01-06	0.012341326283187515
1987-01-07	0.008978751572944477
1987-01-08	-0.0014575768807424394
1987-01-09	-0.01597975526293105
1987-01-12	0.02076744044420109
1987-01-13	-0.009216357954667465
1987-01-14	-0.004863400269715656
1987-01-15	-0.007408212658969071
1987-01-16	-0.006447578981029878
1987-01-19	-0.0322898192806369
1987-01-20	-0.00430810715555785
1987-01-21	0.034287115126474976
1987-01-22	0.0011839457419864363
1987-01-23	-0.014781820900917286
1987-01-26	-0.006001440580170492
1987-01-27	0.01593950217873208
1987-01-28	0.011608577190223901
1987-02-02	0.012493597201155726
1987-02-03	0.008200507338809615
1987-02-04	0.011586938476073172
1987-02-05	0.013578018418236137
1987-02-06	0.00044910767712846855
1987-02-09	0.014998448552862254
1987-02-10	-0.006927828855952334
1987-02-11	0.016549816049739485
1987-02-12	0.005548439924028203
1987-02-13	-0.00515480866285789
1987-02-16	0.009341396699963589
1987-02-17	0.009399515231581779
1987-02-18	0.0033666065022670555
1987-02-19	-0.009173639540201672
1987-02-20	0.018589182436757
1987-02-23	0.018250017485491377
1987-02-24	-0.01069817604311396
1987-02-25	0.008917964651296462
1987-02-26	-0.010439866014922639
1987-02-27	0.012062105608932283
1987-03-02	0.005698650766490898
1987-03-03	0.015478716122146352
1987-03-04	-0.016399644010401948
1987-03-05	-0.0319969570461458
1987-03-06	7.153920793534496e-05
1987-03-09	0.007789539029086967
1987-03-10	-0.03166210742430242
1987-03-11	0.010911282494945329
1987-03-12	-0.0039116972978020526
1987-03-13	-0.010508761666168098
1987-03-16	-0.018962169058324374
1987-03-17	-0.015095912254238342
1987-03-18	0.03601717164767204
1987-03-19	-0.0009911715021567735
1987-03-20	0.02179107329736074
1987-03-23	0.011795944593092189
1987-03-24	0.0052250642719700036
1987-03-25	0.0012021859999111761
1987-03-26	-0.017093378895903233
1987-03-27	0.00560520749101423
1987-03-30	-0.008503965856775486
1987-03-31	-0.022018759474537686
1987-04-01	-0.006595971023032665
1987-04-02	0.005007604321014769
1987-04-03	-0.010851075294687096
1987-04-07	-0.005708973443330212
1987-04-08	0.024355517571812646
1987-04-09	0.020479154580829606
1987-04-10	-0.00685697277194397
1987-04-13	-0.020785136650447678
1987-04-14	-0.014950718542593333
1987-04-15	0.009443935030265083
1987-04-16	0.010209384839244828
1987-04-21	-0.002829809649094628
1987-04-22	0.0012898946436081804
1987-04-23	0.00110419967898423
1987-04-24	-0.00452215343546325
1987-04-27	-0.026259453055048843
1987-04-28	-0.0073582030509198315
1987-04-29	-0.010546061146444963
1987-04-30	0.027186677869762477
1987-05-01	0.009586826924400826
1987-05-04	0.003872848314062205
1987-05-05	0.006677053072917882
