time	IGEA.L
2012-03-05	-0.005743432437784524
2012-03-06	-0.0033614540621674793
2012-03-07	0.0005814205140752815
2012-03-08	0.007942102199983925
2012-03-09	0.0
2012-03-12	0.0
2012-03-13	-0.005485767405136177
2012-03-14	-0.01203487071768572
2012-03-15	0.0
2012-03-16	0.0
2012-03-19	0.0
2012-03-20	0.0
2012-03-21	0.0
2012-03-22	0.0
2012-03-23	0.0
2012-03-26	-0.00406051687346165
2012-03-27	0.0
2012-03-28	0.0
2012-03-29	0.0
2012-03-30	0.0033635901437336635
2012-04-02	0.005282371293884536
2012-04-03	0.0
2012-04-04	-0.005254614469251684
2012-04-05	0.0
2012-04-10	-0.00634904494615407
2012-04-11	0.0009200668163815706
2012-04-12	0.007507283790569641
2012-04-13	-0.0007096481676536204
2012-04-16	-0.004260912754850743
2012-04-17	0.004890430158704717
2012-04-18	-0.0011152855461298294
2012-04-19	0.0010658075569573988
2012-04-20	0.0009125103968630199
2012-04-23	-0.0041027077376430965
2012-04-24	0.0027464579306901715
2012-04-25	-0.00010146212258765885
2012-04-26	0.0028406085032337547
2012-04-27	0.004451213436502455
2012-04-30	0.000906398802102748
2012-05-01	0.0009559390554305658
2012-05-02	-0.0017591899979652048
2012-05-03	0.0007049314468574597
2012-05-04	-0.003622829831952945
2012-05-08	-0.0027270403659767073
2012-05-09	-0.0057727335138354485
2012-05-10	0.0013242832355846446
2012-05-11	-0.00142420534386678
2012-05-14	-0.005246607577723328
2012-05-15	-0.0026626505788752697
2012-05-16	-0.005390989519561629
2012-05-17	-0.00010326384645309439
2012-05-18	-0.001961743056325238
2012-05-21	-0.0005173086060766829
2012-05-22	0.003519266491487816
2012-05-23	-0.009902002214452477
2012-05-24	-0.0013542791573186719
2012-05-25	-0.005528883537683216
2012-05-29	-0.0002622629329559478
2012-05-30	-0.006452944355492929
2012-05-31	0.002640194250229211
2012-06-01	0.004897791509723248
2012-06-06	0.011320180754397224
2012-06-07	-0.000777291265665836
2012-06-08	-0.0028005835722942907
2012-06-11	-0.0003120322393106445
2012-06-12	0.0044740433091774445
2012-06-13	0.0017609091292019041
2012-06-14	-0.0004136171637475483
2012-06-15	0.004551592528607262
2012-06-18	-0.0020594886930818124
2012-06-19	0.005881742578522697
2012-06-20	-0.01036112127050548
2012-06-21	-0.00409458139797525
2012-06-22	0.001665403769885776
2012-06-25	-0.006234721985927338
2012-06-26	0.002927785570580266
2012-06-27	0.004535240102607752
2012-06-28	-0.00031135215123989646
2012-06-29	0.010797351731960392
2012-07-02	0.0003081222176335441
2012-07-03	0.007187564972062077
2012-07-04	-0.0028545090197817924
2012-07-05	0.0014313402836410027
2012-07-06	-0.006993339254065645
2012-07-09	0.0030329324093607557
2012-07-10	0.0008200269891012191
2012-07-11	0.0006144772528553499
2012-07-12	-0.003275329629679913
2012-07-13	0.00821527083920448
2012-07-16	0.0015278216073808526
2012-07-17	0.0026441015152491865
2012-07-18	0.005071508454938867
2012-07-19	0.001211048047401464
2012-07-20	0.00040319439468272655
2012-07-23	-0.005037783375314908
2012-07-24	0.0006582525712024445
2012-07-25	0.003693749478840047
2012-07-26	0.004033086556242349
2012-07-27	0.0005020628785294967
2012-07-30	0.0012044840900355958
2012-07-31	0.004812063728657501
2012-08-01	0.0001995075565865978
2012-08-02	-0.0040898120908665625
2012-08-03	0.00806290399341969
2012-08-06	0.0009936520130284787
2012-08-07	0.001538525733993712
2012-08-08	-0.0014866355164566691
2012-08-09	-9.92767864066435e-05
2012-08-10	-0.0007444604906940988
2012-08-13	-0.003774869616668841
2012-08-14	-0.0014459217945437253
2012-08-15	-0.0015977235239665877
2012-08-16	-0.0034007197026322267
2012-08-17	-0.003211558578727458
2012-08-20	-0.0010068311964192
2012-08-21	0.006047152456554183
2012-08-22	-0.0021037776509184036
2012-08-23	0.006525464530630298
2012-08-24	-0.001296677439083349
2012-08-28	-0.0027963526113781167
2012-08-29	-0.0018027071399748795
2012-08-30	-0.0012039241435933823
2012-08-31	0.0050226015537140345
2012-09-03	0.004097911246466968
2012-09-04	-0.0017917609677103874
2012-09-05	-0.0008974505283819711
