,Final Portfolio Value
0,1.0090031533882695
1,1.0056574257457795
2,1.0032433642921639
3,0.9954673714850459
4,0.9986234589896827
5,1.0060686041453848
6,1.0124296535056603
7,1.017750728745116
8,1.017557342339943
9,1.017594052103758
10,1.0272885747136906
11,1.0271336852993056
12,1.0223853258744595
13,1.0313192039226668
14,1.0346051559598552
15,1.037660430582405
16,1.0390401407560867
17,1.035207636083474
18,1.0379168615942493
19,1.0318572397262131
20,1.0288515843379935
21,1.0319910398896406
22,1.0324400870711237
23,1.023771077050121
24,1.029560901466252
25,1.0278455260724872
26,1.026805455078859
27,1.029196766735728
28,1.0341262584097701
29,1.0321189745674237
30,1.029168300697338
31,1.0325889428824944
32,1.0344749536659354
33,1.0307457687192363
34,1.029581884736943
35,1.0237226513213473
36,1.0243667281673596
37,1.022147758416199
38,1.0192111894172677
39,1.0214799783993547
40,1.0262302189733168
41,1.0233419270061912
42,1.021515617774367
43,1.0247953151190248
44,1.0200251335473118
45,1.0168892790822133
46,1.0109308529103125
47,1.0063319390164458
48,1.0064196664481306
49,1.000685389752125
50,1.0064483472588954
51,1.0139409189078956
52,1.0160718310668373
53,1.0171314912990717
54,1.0098543299642224
55,1.0109950353353732
56,1.0146669468067837
57,1.0141990374960221
58,1.0124354062847094
59,1.0157807668753218
60,1.0148336972431944
61,1.0235389667525585
62,1.0226969590665203
63,1.025962371616239
64,1.0285861694084653
65,1.0328546949357031
66,1.029448251792057
67,1.0310822576301208
68,1.0317482388556596
69,1.0366965258670422
70,1.0391048691992522
71,1.0381718927961505
72,1.0345260079052794
73,1.0324111649392824
74,1.034086979281452
75,1.0331450556759543
76,1.037088187196812
77,1.0369654200628862
78,1.0355643463329551
79,1.0374455180137356
80,1.0410206876816837
81,1.0381424183708747
82,1.0381803908848024
83,1.0378661689254052
84,1.03897988849887
85,1.0387877516139423
86,1.034652942742602
87,1.031013232529765
88,1.0314682235767363
89,1.0300028714817926
90,1.0335921874135385
91,1.0289950462062079
92,1.0330871427729813
93,1.0360565938574366
94,1.035369530243994
95,1.0284005161755856
96,1.0329007281157465
97,1.0329042699351594
98,1.0335653269891016
99,1.0358387422084818
100,1.0394426365079301
101,1.0397554293061124
102,1.0405641541364783
103,1.0414983675638565
104,1.0416704694867935
105,1.044727914278418
106,1.041773614782009
107,1.0364488625236035
108,1.0389554843163467
109,1.0439893243350173
110,1.0447732596909964
111,1.0421439836275839
112,1.0396848394040819
113,1.0410230693435256
114,1.0409743393551956
115,1.0445613655976715
116,1.0413964970520828
117,1.039345180975222
118,1.0387554938701968
119,1.0360855112590164
120,1.0356835050619984
121,1.0376983930533858
122,1.0321962301553347
123,1.024629173813444
124,1.029106182484426
125,1.0270159954381
126,1.0237997456484949
127,1.0283368393605212
128,1.0266141860042466
129,1.0249655441091419
130,1.0214308337952112
131,1.0219988809585288
132,1.02038570400747
133,1.0193685638225287
134,1.0189791727013575
135,1.017105556601051
136,1.0182253763441855
137,1.0219343987336689
138,1.0279853237553183
139,1.0288342049626413
140,1.0287543115937137
141,1.0295985663900489
142,1.0276670724087862
143,1.0307214895403218
144,1.0295984445236381
145,1.0344297797313429
146,1.037158386336036
147,1.0356051495581204
148,1.0327234842855377
149,1.0357106282814648
150,1.0318579136003245
151,1.035444406822793
152,1.031333996046968
153,1.02837776806656
154,1.0278113335182455
155,1.029259825066996
156,1.0306328238704487
157,1.0344705541141894
158,1.0319049759099497
159,1.030376406598201
160,1.0317820874903134
161,1.032329190140155
162,1.0294850519324767
163,1.033121587864879
164,1.034179940852299
165,1.0350088578062229
166,1.0355749497006261
167,1.0355784177812728
168,1.036504746666774
169,1.0393228513425858
170,1.0387337350998307
171,1.0378649588555924
172,1.0365731423256725
173,1.038923167779497
174,1.037749326080934
175,1.037044126663559
176,1.0337167526925435
177,1.0378924476283815
178,1.0417039599949962
179,1.0416844190148975
180,1.0445743942635213
181,1.0440489005761793
182,1.050207222254008
183,1.0543934175732383
184,1.056613256980115
185,1.0534853165032605
186,1.0581218038658393
187,1.057019303608127
188,1.0618184856125525
189,1.05960152832363
190,1.0602802824213051
191,1.0621297261306673
192,1.0690067307111721
193,1.072896493420986
194,1.0705200853750583
195,1.0745696900435089
196,1.0811981391182037
197,1.080765851863601
198,1.0837997794008265
199,1.0854827311882906
200,1.0894988791484868
201,1.0807239233598263
202,1.084419638713201
203,1.0841721016526544
204,1.0912728098489448
205,1.0917068655598245
206,1.0943729039610153
207,1.0935271389535888
208,1.0973988893039452
209,1.1015654409546354
210,1.0958682480924067
211,1.1035136692609142
212,1.1097422089103772
213,1.108753857039415
214,1.1081473699394586
215,1.1077442921211313
216,1.1157937217004328
217,1.1182982066036162
218,1.121673057972545
219,1.1218431824756399
220,1.1249064712394945
221,1.1216000784387994
222,1.1150147516483568
223,1.1116025020136466
224,1.1094557487825312
225,1.108698545499236
226,1.1118529696939583
227,1.1041525801087133
228,1.09980389733418
229,1.0955248743432404
230,1.0977280722711324
231,1.093902540653481
232,1.0991087015480003
233,1.0916682479170283
234,1.0933077341090796
235,1.0948174479084904
236,1.095167451518004
237,1.092767284748928
238,1.0976118437831894
239,1.0958945948729604
240,1.0848813371457213
241,1.0829710673936346
242,1.076655954283337
243,1.0806161076541596
244,1.0663768449399529
245,1.0703958091628354
246,1.074161476857031
247,1.0688699359148788
248,1.072735042658845
249,1.0655137996955673
250,1.056084803835683
251,1.0605848488091039
252,1.0543741814486682
253,1.0481340421479044
254,1.0539556501041598
255,1.0443508194687536
256,1.0503235008067762
257,1.0558295997733478
258,1.0570304178854109
259,1.0548837410755785
260,1.056738604173302
261,1.0463780497218935
262,1.049634500521421
263,1.050209175970834
264,1.0553198996651894
265,1.0623936198382724
266,1.0587513651821143
267,1.0564711074221038
268,1.0553198874247913
269,1.0522157859449157
270,1.055279094848137
271,1.0542532776674303
272,1.0614706726753211
273,1.0617910137145268
274,1.0573927992304706
275,1.0607195580409057
276,1.0650203413121573
277,1.0707879210379891
278,1.0707188257636076
279,1.0711870705589794
280,1.0730347666810325
281,1.071414375385553
282,1.0763174525123014
283,1.0760164995716095
284,1.0808645528497314
285,1.084293674137705
286,1.0879117168445966
287,1.0872646330694664
288,1.0800296453952505
289,1.0834149265534947
290,1.0808794001823019
291,1.0808230746273226
292,1.0842626518725926
293,1.0844535814375824
294,1.0876584984463635
295,1.0914104334823
296,1.0891291008201938
297,1.0812597360493161
298,1.0842086728338014
299,1.0821152579109183
300,1.0824650578056714
301,1.0814328437496843
302,1.0841840889120415
303,1.0855444132977268
304,1.0836950334698683
305,1.0814280837380708
306,1.079061157716179
307,1.0799127711230212
308,1.0821607677074327
309,1.083435359346861
310,1.0826743559135465
311,1.08046790714594
312,1.0844414081399505
313,1.0831898307774515
314,1.0922616304500201
315,1.0874693345949327
316,1.0851130419587889
317,1.0877320136323765
318,1.0861388015686853
319,1.086395172369834
320,1.082018884997468
321,1.0798908321611052
322,1.0784026856821587
323,1.0753712737782217
324,1.077349781311309
325,1.082510015928096
326,1.0893511051762512
327,1.091071481653316
328,1.090186466840877
329,1.090582664402918
330,1.0871266110421194
331,1.0887432637126566
332,1.0902296442668944
333,1.0907411392013455
334,1.0934433394958467
335,1.0930349185523343
336,1.0884521601472592
337,1.086311779717634
338,1.0873825033927291
339,1.0851196534646352
340,1.087810803470715
341,1.0939569514268723
342,1.092106335555218
343,1.0861473533251664
344,1.0876331165427575
345,1.095440234079101
346,1.0972944923375925
347,1.0944383755436211
348,1.0982332096577427
349,1.1005237735924447
350,1.1078660741656516
351,1.1079808778233977
352,1.1074852571722473
353,1.1035309867670398
354,1.107639595297345
355,1.1096225883365507
356,1.1105111116391655
357,1.1087409870243432
358,1.1082219952168346
359,1.1013099960308723
360,1.1055388623403557
361,1.1122402848913069
362,1.1142703297122545
363,1.1165507354046265
364,1.121269018687001
365,1.123514400763479
366,1.1248982712003077
367,1.1293345898760552
368,1.1316801171459858
369,1.1306848109836678
370,1.1288897651705183
371,1.13364504799224
372,1.1361630906396976
373,1.1293656875902829
374,1.129826580302168
375,1.1302218086941684
376,1.1195866848803635
377,1.120748371595797
378,1.1226164584318035
379,1.120702976763821
380,1.123291742999088
381,1.1194190790047651
382,1.1178729873833944
383,1.1257969731666317
384,1.127384033979266
385,1.1268968057864748
386,1.1350049836216383
387,1.132397222685224
388,1.1336061519309073
389,1.135955864381891
390,1.1334490861574487
391,1.1335742881652284
392,1.1294917409908978
393,1.1309063121623206
394,1.131414792578545
395,1.133556968334516
396,1.1335541714410629
397,1.1362868324961513
398,1.1373581723903703
399,1.1321094300348753
400,1.132145407504329
401,1.1352154901139075
402,1.1449104636820735
403,1.14539300815557
404,1.1457296005630933
405,1.1417798722557797
406,1.1350443656346147
407,1.137507296706068
408,1.133268413827544
409,1.1389343022765204
410,1.1428096363448488
411,1.1394636682748516
412,1.1344772252098458
413,1.133121832736886
414,1.1339898737903529
415,1.1325449286234954
416,1.1364064416641741
417,1.130594263734661
418,1.1337494752371893
419,1.134379834791147
420,1.1370209216557037
421,1.1349960908283299
422,1.1243728060076958
423,1.123189898053481
424,1.1255918056646543
425,1.123411658630807
426,1.1226113162470437
427,1.1209012467628117
428,1.1106210456554741
429,1.1094593957135483
430,1.1076014722349796
431,1.112897797561649
432,1.1115475946804838
433,1.100866308740802
434,1.1037979493837873
435,1.1121650205658962
436,1.1091480463065984
437,1.107585989560366
438,1.1116556254398038
439,1.1020288804755223
440,1.0969311908526993
441,1.095902885333616
442,1.096608973394908
443,1.0949071626865337
444,1.094066831277131
445,1.0898067965085945
446,1.0756626968596772
447,1.069504166466963
448,1.0734997030544442
449,1.0735976094206108
450,1.0703220538274703
451,1.074156417594171
452,1.0748526113871333
453,1.0768014147435772
454,1.0729614340566633
455,1.0770165125291848
456,1.0771779089834672
457,1.0794135956913355
458,1.0852890154854786
459,1.0894121342036036
460,1.0951195632082646
461,1.0932969759662199
462,1.0868378116143451
463,1.0864095930426958
464,1.0853991323513916
465,1.084301281545888
466,1.0907991699472326
467,1.0912695690749903
468,1.085280827372303
469,1.0874805327224042
470,1.080382952641011
471,1.0915683899549193
472,1.0911907658004005
473,1.0925305904341787
474,1.0921860929658689
475,1.091993512159992
476,1.092226363146098
477,1.0955309929932793
478,1.097181364683078
479,1.0957381637309238
480,1.0900165751334197
481,1.0951995008819009
482,1.0997535544852504
483,1.0959083894191808
484,1.1007059191149184
485,1.096326144302883
486,1.0974566222751538
487,1.0948880523442492
488,1.096829874683552
489,1.098494158975014
490,1.0971799683747034
491,1.0960257192154694
492,1.093667991941589
493,1.0993866067790066
494,1.0993635621175932
495,1.096633128802122
496,1.0911796652120815
497,1.0917706406234422
498,1.09101413490117
499,1.0887516610816432
500,1.0867044056243298
501,1.0864958409971452
502,1.0897284892887555
503,1.0953821169707267
504,1.0952714555610057
505,1.0937550059931318
506,1.0941162405643388
507,1.0905178746777169
508,1.094194880882844
509,1.0932678538515384
510,1.0946109489879343
511,1.0947852203500776
512,1.0919771365954394
513,1.0946005706487283
514,1.0982382072689962
515,1.1028432026396318
516,1.1045477442955511
517,1.1056257785036496
518,1.1056808325971172
519,1.102773149965123
520,1.103000130018942
521,1.107388161818424
522,1.1094651753407259
523,1.1106250158519084
524,1.110845993023231
525,1.115716350987477
526,1.1127703502357995
527,1.112789191870009
528,1.1074480510306068
529,1.1120172697836723
530,1.1143915137677376
531,1.1150365314052242
532,1.1173656579511742
533,1.120191366956655
534,1.121150460021934
535,1.1182835790942554
536,1.123591383310268
537,1.122314495437248
538,1.124735080549893
539,1.1273210551346005
540,1.125521032019718
541,1.1210242452392185
542,1.1213803761159191
543,1.1217977999095081
544,1.1230935805745568
545,1.1201936525967184
546,1.1186281050308524
547,1.1178964015330937
548,1.1189375608648013
549,1.120201309010198
550,1.1201108722810404
551,1.1151325370293566
552,1.1195279762608916
553,1.1212201370817496
554,1.1206352761377274
555,1.1210363026332089
556,1.120823123168359
557,1.1192961817959395
558,1.1223157513281203
559,1.1188163476808262
560,1.122044097862978
561,1.121998070291498
562,1.1196095978964393
563,1.120614259420007
564,1.1244591678250857
565,1.1240441065954814
566,1.1259116777495337
567,1.1291314443909235
568,1.1229608172174919
569,1.124549850111443
570,1.127549956447952
571,1.1344719621707764
572,1.1311690763643365
573,1.1286849294349919
574,1.1286001243061938
575,1.1270901235734385
576,1.1302454388080165
577,1.1368658188230594
578,1.1370802654228436
579,1.1338931300047852
580,1.1400688706445639
581,1.1414793667200418
582,1.1332598683776802
583,1.1354964601083042
584,1.135461608886217
585,1.13748653852857
586,1.134956921319581
587,1.1283945509129802
588,1.1270035515301946
589,1.1293608152925738
590,1.1269912703544958
591,1.1333501936267691
592,1.1348471999279233
593,1.1316146562014395
594,1.1376687893290016
595,1.139481451853391
596,1.1399007999790498
597,1.144154581041716
598,1.1464821852741727
599,1.1506369918994774
600,1.1435296624675964
601,1.1406293233456857
602,1.1410001394786855
603,1.1450397219151265
604,1.1462388146272604
605,1.1465113427839426
606,1.1412369012695802
607,1.1441994195197056
608,1.1427941968464785
609,1.145674507065067
610,1.142998846596655
611,1.143140262478633
612,1.1342486641570146
613,1.133909595934596
614,1.1358226854836275
615,1.1348013359780904
616,1.1353808662931637
617,1.1348344894563054
618,1.1372593759771013
619,1.1367630479895419
620,1.139089231281762
621,1.1426270013063358
622,1.1399577619088679
623,1.1372420637393104
624,1.136578357280126
625,1.1359146488486247
626,1.1345490690731763
627,1.1365001264915124
628,1.135240377434188
629,1.1385071555431552
630,1.1416742952590755
631,1.1411449519602195
632,1.1420254395747835
633,1.1407823584959587
634,1.1480965405418244
635,1.1486584963675655
636,1.1505411220132193
637,1.1507388895584918
638,1.1483409151815696
639,1.1492708672053693
640,1.1506747214823358
641,1.150705863409453
642,1.1475234687577467
643,1.1428687204243702
644,1.1404087979516502
645,1.1348255028203624
646,1.1377047901528134
647,1.139178466239655
648,1.143811497085652
649,1.1367296609218116
650,1.1362360300887413
651,1.1362146036830898
652,1.1360564245612914
653,1.1426224863062278
654,1.1447181107434594
655,1.139363855608149
656,1.1290459889272428
657,1.1309443173545979
658,1.1258257742761861
659,1.1288308863727718
660,1.1238376946473674
661,1.1230363580958804
662,1.1244554994282603
663,1.1221983584023592
664,1.1195028673344416
665,1.1098231708918083
666,1.1120295127975275
667,1.1127712751405976
668,1.1118071184983185
669,1.1113635780887299
670,1.1180832021097158
671,1.121060046205947
672,1.117094082057413
673,1.115726326050676
674,1.1184388675187211
675,1.12028836017387
676,1.1191125331924625
677,1.117645779280202
678,1.119835186564928
679,1.125397397168212
680,1.1221691335566044
681,1.1183875481448484
682,1.1167634546375922
683,1.1169694699470176
684,1.1229169587297199
685,1.1182075513204024
686,1.1202016176073741
687,1.1212457729421834
688,1.1251524085315867
689,1.1212497544558317
690,1.1256408525334423
691,1.1256523669280891
692,1.1270053722513795
693,1.1264918892237814
694,1.1269214652720725
695,1.1304351956917316
696,1.1313506183847482
697,1.1260487595301445
698,1.1270646741232768
699,1.1246246547532455
700,1.126974375271181
701,1.1226639449293814
702,1.1240784510686703
703,1.1271300441730017
704,1.130332927213221
705,1.13653862374351
706,1.136434090080718
707,1.1357404242606193
708,1.1405213148337991
709,1.1424813768906232
710,1.1396929879944973
711,1.1424814696583239
712,1.143243982957439
713,1.1447685521547253
714,1.150416059136727
715,1.1522778206213338
716,1.1454167732246252
717,1.1479912635493108
718,1.1498771238205463
719,1.1475668048099712
720,1.1485566068434003
721,1.1433998479422787
722,1.1422655714436947
723,1.142332743572335
724,1.1423264950331937
725,1.1453368501016365
726,1.1466112705049794
727,1.145295571363461
728,1.1470454461620418
729,1.1528443563410544
730,1.1486200813249101
731,1.147754775337385
732,1.148342293555564
733,1.148723450908017
734,1.1482445366695013
735,1.1483998162764295
736,1.141386266615005
737,1.141732804530553
738,1.1403210823182643
