time	URTH
2012-01-13	0.0
2012-01-17	0.0
2012-01-18	0.0
2012-01-19	0.029423450590151834
2012-01-20	0.0
2012-01-23	0.0
2012-01-24	-0.002510568877609698
2012-01-25	0.0
2012-01-26	0.0
2012-01-27	0.0
2012-01-30	0.0
2012-01-31	0.0
2012-02-01	0.02536297231157647
2012-02-02	0.0
2012-02-03	0.011518138612098383
2012-02-06	0.0
2012-02-07	0.0
2012-02-08	0.0
2012-02-09	0.0
2012-02-10	0.0
2012-02-13	0.0
2012-02-14	0.0
2012-02-15	0.0
2012-02-16	0.0
2012-02-17	0.0
2012-02-21	0.026694051023374188
2012-02-22	0.0
2012-02-23	0.0
2012-02-24	0.0
2012-02-27	0.0
2012-02-28	0.0
2012-02-29	0.0
2012-03-01	0.0
2012-03-02	-0.009454553777521357
2012-03-05	0.0
2012-03-06	0.0
2012-03-07	0.0
2012-03-08	-0.007525694766099433
2012-03-09	0.003698922952992012
2012-03-12	0.0
2012-03-13	0.0
2012-03-14	0.008660424115325194
2012-03-15	0.0
2012-03-16	0.0
2012-03-19	0.0
2012-03-20	0.0
2012-03-21	0.0
2012-03-22	0.0
2012-03-23	0.0
2012-03-26	0.0
2012-03-27	0.01698933982394002
2012-03-28	-0.010418502522620221
2012-03-29	-0.005808671155162259
2012-03-30	0.0038341990636754364
2012-04-02	0.0
2012-04-03	0.0
2012-04-04	0.0
2012-04-05	-0.013277547259263445
2012-04-09	-0.008110573764220863
2012-04-10	-0.015610483760456262
2012-04-11	0.009250478619547753
2012-04-12	0.015525661153551251
2012-04-13	0.0
2012-04-16	-0.014735664460667541
2012-04-17	0.02019065213064275
2012-04-18	0.0
2012-04-19	0.0
2012-04-20	0.0
2012-04-23	0.0
2012-04-24	0.0
2012-04-25	0.0
2012-04-26	0.0
2012-04-27	0.011544824475690607
2012-04-30	0.0
2012-05-01	0.0030796769310816874
2012-05-02	-0.009571948519429663
2012-05-03	0.0
2012-05-04	0.0
2012-05-07	-0.02097012258714659
2012-05-08	0.0
2012-05-09	-0.01843914861411522
2012-05-10	0.0
2012-05-11	0.0
