,Final Portfolio Value
0,1.0015172573396305
1,1.0014773647664101
2,1.0027361160572208
3,1.0043231414838951
4,1.0059987910402328
5,1.0035399182573377
6,1.0049802946522262
7,1.0077143206895216
8,1.008749590400532
9,1.0101715705135752
10,1.0100717333180715
11,1.0082495027567004
12,1.0049323518999334
13,1.0106655471067574
14,1.0113444847171882
15,1.0135224117809338
16,1.0160094963700446
17,1.0218745245607126
18,1.0231044490105896
19,1.0247793618524068
20,1.0201211053746395
21,1.019911865204646
22,1.0163959616621665
23,1.0149290669687379
24,1.0172711501127636
25,1.0181239845392995
26,1.01883985421963
27,1.0228938443012128
28,1.0269148545565474
29,1.0282981712976724
30,1.0329411196261356
31,1.033433668013444
32,1.0341288114899374
33,1.0317940236544432
34,1.029271681009701
35,1.0304606808749144
36,1.0318043923532172
37,1.0328267174425636
38,1.0326189549297045
39,1.0345953040827605
40,1.0361438177798914
41,1.0391136972334414
42,1.0396654519616155
43,1.0401566128344515
44,1.0385758974348362
45,1.041253946672646
46,1.0414366695051058
47,1.043118958337802
48,1.0400844480765954
49,1.0416356178045971
50,1.034810816664096
51,1.0365208745891268
52,1.0276596113743044
53,1.028908566253774
54,1.0243305539614584
55,1.02917701848614
56,1.0325852565060374
57,1.0394632011639595
58,1.0390795965516473
59,1.031492227786601
60,1.0329588292048533
61,1.0328836411778395
62,1.025359174415801
63,1.0300133289013969
64,1.0284548786594123
65,1.0242800916832167
66,1.0222896433160762
67,1.0250416690743942
68,1.0298151118045744
69,1.0310279587751414
70,1.0331460835772535
71,1.0405417056163127
72,1.0434929853100452
73,1.0416515530636041
74,1.0408068142640283
75,1.0398483019584508
76,1.041189264308403
77,1.0507788953618258
78,1.0539217987752445
79,1.0562688588949511
80,1.0560622638775221
81,1.0546967781711407
82,1.0543909907447206
83,1.0538009690734422
84,1.0538507910819161
85,1.0581381298033332
86,1.0634656946501668
87,1.064615135915071
88,1.0691129587473092
89,1.069603478546787
90,1.0691891798891033
91,1.0690674781520746
92,1.0662564697966823
93,1.0650484780482785
94,1.062018031181367
95,1.062092788144723
96,1.0630136665562118
97,1.0669295482248744
98,1.0648514722407099
99,1.064780844100825
100,1.064545352380098
101,1.065918237665461
102,1.0715559518271742
103,1.0723136111040463
104,1.0695095580569438
105,1.071567541113674
106,1.0714939884118415
107,1.0650293616674944
108,1.0659630392828916
109,1.0549800922102273
110,1.048538453799
111,1.0475932403588768
112,1.0502362396782594
113,1.0584399193659038
114,1.0534302795452302
115,1.0524474178313425
116,1.0564162535986874
117,1.0513758096581207
118,1.0508319591699418
119,1.0565369320979432
120,1.0611937128440427
121,1.0594177417963675
122,1.0647233717392073
123,1.062035736644052
124,1.0576936548807554
125,1.0634313169548635
126,1.0645437674617009
127,1.0694793684427293
128,1.0709431725977203
129,1.0712833419780954
130,1.0698025473930033
131,1.0738238662025303
132,1.0735110097097778
133,1.0769276363155198
134,1.0764022057963414
135,1.0722905092601296
136,1.075547217263022
137,1.0785913259918076
138,1.0795348482003146
139,1.0746053244320235
140,1.0735837214224089
141,1.0745978970666366
142,1.0789491948883851
143,1.081210247587122
144,1.0777438659510687
145,1.080970182715177
146,1.0780718039487724
147,1.0806342911862878
148,1.0818897154826086
149,1.0846299102863557
150,1.0781812038095202
151,1.0642861755127244
152,1.0680657010250334
153,1.0708322576486466
154,1.0678018028308138
155,1.0697556816586693
156,1.0730277965439505
157,1.078938057979321
158,1.0772869252542447
159,1.0824090247814686
160,1.0817268120873142
161,1.080556001803764
162,1.079285802700002
163,1.079414074954145
164,1.080452338773612
165,1.0809355575779416
166,1.0851448318971992
167,1.0843025862130673
168,1.0824813847052706
169,1.0821180008715285
170,1.0819026390771875
171,1.0800363675107558
172,1.0838563091780413
173,1.0876454040985744
174,1.0890322260351353
175,1.0901933207577588
176,1.0916666021240733
177,1.0883836750665763
178,1.0865210279935855
179,1.0883779289521187
180,1.0881817144012873
181,1.0870710162829502
182,1.0896979047900137
183,1.0900179903710976
184,1.0887164736729482
185,1.087449191338005
186,1.0865741031961573
187,1.0880290526352492
188,1.090850119252924
189,1.0910328075225844
190,1.091804264296485
191,1.0904177552288672
192,1.090142990834972
193,1.0779600997239955
194,1.0790500262293645
195,1.0834912118246378
196,1.0805454380256792
197,1.086036762836006
198,1.0839781282094412
199,1.0847664135429498
200,1.087931166099887
201,1.0883668883236992
202,1.091862911423875
203,1.0976670901812868
204,1.0956060230456228
205,1.094753707151824
206,1.0921954593402476
207,1.0967698696356953
208,1.096579884693304
209,1.097619346462509
210,1.091665438176371
211,1.0969860459050091
212,1.093989241218691
213,1.0945774462069946
214,1.0951149599516288
215,1.0971860507108993
216,1.0969261685881242
217,1.0938589463279176
218,1.0938032687095929
219,1.093932008818519
220,1.0948874530389108
221,1.0993714875067344
222,1.0984673885362268
223,1.098570448928385
224,1.0965916998200966
225,1.0930199629051547
226,1.1007561781847357
227,1.091710141423615
228,1.095925032392231
229,1.0993637017663034
230,1.0950810240208793
231,1.0905031512770276
232,1.0911126713709698
233,1.0989065182115787
234,1.1030700187395281
235,1.1062810011960476
236,1.1061920033063397
237,1.1059259662407361
238,1.1099504901581718
239,1.1135371582878344
240,1.1131857148119768
241,1.1128307364659782
242,1.1145360298764588
243,1.112451128641025
244,1.1163963636250203
245,1.1129022956371648
246,1.1100639188281682
247,1.091979969801568
248,1.0833176268078002
249,1.0826645856270818
250,1.067392784060503
251,1.0528831473039402
252,1.054033174650368
253,1.0612608922774642
254,1.066941490235338
255,1.0599062901455487
256,1.0441674101780876
257,1.0073270760524289
258,1.000140165047421
259,1.0020652524297036
260,0.9477282398620823
261,0.9479784861328594
262,0.916404810511004
263,0.9230466084545786
264,0.8918445734823541
265,0.9099196572347052
266,0.9251942915994728
267,0.9221554503147052
268,0.9498857490375492
269,0.9574121172105068
270,0.9720329070763369
271,0.9595835037300975
272,0.9640094241281724
273,0.9638652160686185
274,0.9496850919322817
275,0.9505971733194376
276,0.9465769287651453
277,0.9638268833056365
278,0.9683853685959685
279,0.9668873002542828
280,0.9768978361794439
281,0.9802887536785398
282,0.9665094522678691
283,0.967876143503155
284,0.9782190231618744
285,0.9777620575131794
286,0.9615501476833548
287,0.9659625220526261
288,0.9713426762600632
289,0.9688101537400502
290,0.9793558267083595
291,0.9854985147718229
292,0.994631505887221
293,0.9888341897250534
294,0.9740296680805102
295,0.9808403679544724
296,0.9732443063918099
297,0.9786206575393033
298,0.9758600963529909
299,0.9750025492485566
300,0.9675222139042696
301,0.9607371699527443
302,0.9614112923159388
303,0.9788807788484857
304,0.9784608007137234
305,0.9838671419771943
306,0.9794911710204881
307,0.9820579828381125
308,0.9901208772247181
309,0.9963648097052615
310,0.9919197254022953
311,1.0047706556044216
312,1.0163574739319965
313,1.0171091087846087
314,1.0318149593649537
315,1.030389818964828
316,1.0232860458737696
317,1.0194054435200233
318,1.0042182911067687
319,1.0068336006460405
320,1.0048732913978302
321,1.0180210038892172
322,1.0206727104445177
323,1.019455980138794
324,1.0219662134299314
325,1.0202536704866978
326,1.0256428637241353
327,1.0147389252004206
328,1.0181633189521169
329,1.0162357249349843
330,1.0197665950763644
331,1.0201727627970607
332,1.017521519986963
333,1.0304284319017194
334,1.027046982806703
335,1.0342309949281387
336,1.0309633624938053
337,1.0275867867643804
338,1.0255659139394104
339,1.0296940914616466
340,1.0338100293022867
341,1.032279101856355
342,1.0392998607603483
343,1.038743297249985
344,1.0381388992298604
345,1.0430442888992613
346,1.045418044539846
347,1.0426250843149845
348,1.042988084980119
349,1.0345191119832435
350,1.0351044469464556
351,1.0352214467685479
352,1.0343442852365636
353,1.0249677481577177
354,1.0202771217122049
355,1.0283924700797944
356,1.030788328448905
357,1.0311719484170676
358,1.029781367464695
359,1.0307688736942748
360,1.0326392308825803
361,1.0392133152736927
362,1.0421635257634905
363,1.037790220457171
364,1.0332244580246006
365,1.0347831274862642
366,1.0334880554890682
367,1.0374489744739295
368,1.0330423669324689
369,1.0312789981071624
370,1.0394035117752265
371,1.0357329526114012
372,1.0387167066142136
373,1.0352370798115216
374,1.0334748586192553
375,1.0350040913197103
376,1.045360662320629
377,1.0417887366410468
378,1.035362807573625
379,1.0411266069869876
380,1.0367449975310012
381,1.042521932721379
382,1.040203132967838
383,1.0428319456069697
384,1.043363627574054
385,1.0456318417175612
386,1.0469881913638504
387,1.0448069864331002
388,1.0404622438347921
389,1.027317987014719
390,1.0274558763340338
391,1.029717891717484
392,1.0264770203295905
393,1.024243203789164
394,1.0347569718849496
395,1.034413694605262
396,1.0313024520389802
397,1.0322276788595515
398,1.0321568271393786
399,1.0354465142091254
400,1.0371505471196356
401,1.036882204044481
402,1.0408725275981643
403,1.0437616545845219
404,1.0480496771373529
405,1.0462108732262738
406,1.045933873029812
407,1.0367216772913603
408,1.0440884924825686
409,1.0430244864873204
410,1.0404541841338046
411,1.034166055309276
412,1.0321413575675795
413,1.0358975518769427
414,1.0250386266723013
415,1.0226744894092263
416,1.0088836477384755
417,1.0099401144002238
418,1.0091750958425678
419,1.017394490706079
420,1.0265585985954762
421,1.0350811672868265
422,1.0421665577912314
423,1.040415320504631
424,1.0604142548527546
425,1.0638542238362794
426,1.0677865912644493
427,1.0643802177664414
428,1.0656348700266087
429,1.0704294562165095
430,1.0717477603837506
431,1.073172147078209
432,1.070143927725704
433,1.0723462690597212
434,1.0713607812578652
435,1.076921857369841
436,1.07731488594066
437,1.0778026511312033
438,1.079797318682831
439,1.0748577241226718
440,1.0767443952261309
441,1.0763510884437189
442,1.0774090054379077
443,1.0797626451364322
444,1.0801026184301963
445,1.0808435344311613
446,1.081029403152415
447,1.0802243977122183
448,1.0772280101453933
449,1.0788206506746603
450,1.0811796040257349
451,1.0816676258537057
452,1.084383719557722
453,1.0820569428701
454,1.0708275866106376
455,1.0770425022611823
456,1.079742353204503
457,1.0814368219879893
458,1.0800331803323557
459,1.0801308565443117
460,1.0776245730718395
461,1.0838401743357873
462,1.085258504351411
463,1.0884879148158577
464,1.0841651037793913
465,1.0808109513804762
466,1.0838538198194474
467,1.0873932488054625
468,1.0816820246029866
469,1.0812449322957032
470,1.081068624848267
471,1.0841133382210693
472,1.0816690862833136
473,1.0798168578087077
474,1.0762566083073715
475,1.0804192414283116
476,1.0739071489908345
477,1.0759244954642535
478,1.0664058433123906
479,1.07144452773093
480,1.0771400158797066
481,1.07941540375943
482,1.0830440629665903
483,1.0843809224919072
484,1.0856294410025868
485,1.0851705210808367
486,1.083203950821367
487,1.0868463677056817
488,1.087910745607512
489,1.090679692704264
490,1.0883729118948067
491,1.085504765917472
492,1.0812188884567835
493,1.0845032639433518
494,1.0842545728383575
495,1.081271396228309
496,1.0822520460155314
497,1.0762092303863051
498,1.072114923264963
499,1.0846910407523958
500,1.0846191760469444
501,1.0826231901105472
502,1.0822358802668122
503,1.0774141275165123
504,1.0879541485027926
505,1.0918216206189661
506,1.0960569193685927
507,1.1008464188384244
508,1.0975022743300826
509,1.0987101991375152
510,1.1005474751766977
511,1.0978893610025455
512,1.0992576099993014
513,1.0968280152664431
514,1.0971426713796033
515,1.0977493774661609
516,1.0992927573874745
517,1.1002276032898495
518,1.1028255976947654
519,1.103273587216768
520,1.106960278805098
521,1.1073333531514895
522,1.1117766952026775
523,1.113369826670542
524,1.1120662594229094
525,1.1151305839262902
526,1.113331087568794
527,1.1111797050996843
528,1.111303975468204
529,1.111349277840662
530,1.115278995363212
531,1.118591327705873
532,1.1158871630825926
533,1.1075877089607051
534,1.1123332616102801
535,1.1164434735419828
536,1.1162416481925748
537,1.1169627951634333
538,1.1155423442645531
539,1.1149046077664035
540,1.1110642018485504
541,1.1087731378301164
542,1.1012430118260121
543,1.1095004828541644
544,1.1088640686871376
545,1.11178586628736
546,1.1108936820214277
547,1.0995351192579677
548,1.097926959879179
549,1.1061124146111034
550,1.10412253892103
551,1.1038482808522605
552,1.095959253433121
553,1.1040187670425843
554,1.1081407596962936
555,1.1114599540775982
556,1.1125213412207173
557,1.1121751816712333
558,1.1163128704414171
559,1.1200201027995003
560,1.1227200662616572
561,1.1211758203225728
562,1.1233568671040512
563,1.1235360161704306
564,1.1248286850056648
565,1.1260597714727099
566,1.1258524389060196
567,1.1308671908499532
568,1.1304617580530576
569,1.1309236919084755
570,1.1326663193702944
571,1.1323591048543866
572,1.123740753157065
573,1.1259106594518438
574,1.1267505458672684
575,1.1218769343571502
576,1.1273860769089987
577,1.1253977967615914
578,1.1232357534052742
579,1.125150834585529
580,1.1219561339892175
581,1.1235036519761836
582,1.1257348047091658
583,1.1250908939057036
584,1.1238030451538408
585,1.1275792530086015
586,1.1173690660656124
587,1.1256479755217863
588,1.1291583553151607
589,1.1296280755780301
590,1.130853664854853
591,1.126219150437827
592,1.1249540785876815
593,1.1134910241505966
594,1.1176775603340072
595,1.12491302171605
596,1.1302132314276627
597,1.1364874706660815
598,1.1354128139290138
