Price	close	open	high	low
Ticker	EXHF.DE	EXHF.DE	EXHF.DE	EXHF.DE
time				
2008-01-02	103.75	103.75	103.75	103.75
2008-01-03	103.88999938964844	103.88999938964844	103.88999938964844	103.88999938964844
2008-01-04	104.2699966430664	104.2699966430664	104.2699966430664	104.2699966430664
2008-01-07	104.29000091552734	104.29000091552734	104.29000091552734	104.29000091552734
2008-01-08	104.05999755859375	104.05999755859375	104.05999755859375	104.05999755859375
2008-01-09	104.4800033569336	104.4800033569336	104.4800033569336	104.4800033569336
2008-01-10	104.41999816894531	104.41999816894531	104.41999816894531	104.41999816894531
2008-01-11	104.45999908447266	104.45999908447266	104.45999908447266	104.45999908447266
2008-01-14	104.75	104.75	104.75	104.75
2008-01-15	104.9800033569336	104.9800033569336	104.9800033569336	104.9800033569336
2008-01-16	105.30999755859375	105.30999755859375	105.30999755859375	105.30999755859375
2008-01-17	105.36000061035156	105.36000061035156	105.36000061035156	105.36000061035156
2008-01-18	105.48999786376953	105.48999786376953	105.48999786376953	105.48999786376953
2008-01-21	105.9000015258789	105.9000015258789	105.9000015258789	105.9000015258789
2008-01-22	105.30999755859375	105.30999755859375	105.30999755859375	105.30999755859375
2008-01-23	106.06999969482422	106.06999969482422	106.06999969482422	106.06999969482422
2008-01-24	105.26000213623047	105.26000213623047	105.26000213623047	105.26000213623047
2008-01-25	105.43000030517578	105.43000030517578	105.43000030517578	105.43000030517578
2008-01-28	105.66000366210938	105.66000366210938	105.66000366210938	105.66000366210938
2008-01-29	105.37000274658203	105.37000274658203	105.37000274658203	105.37000274658203
2008-01-30	105.29000091552734	105.29000091552734	105.29000091552734	105.29000091552734
2008-01-31	105.93000030517578	105.93000030517578	105.93000030517578	105.93000030517578
2008-02-01	106.02999877929688	106.02999877929688	106.02999877929688	106.02999877929688
2008-02-04	105.93000030517578	105.93000030517578	105.93000030517578	105.93000030517578
2008-02-05	106.61000061035156	106.61000061035156	106.61000061035156	106.61000061035156
2008-02-06	106.33000183105469	106.33000183105469	106.33000183105469	106.33000183105469
2008-02-07	106.69000244140625	106.69000244140625	106.69000244140625	106.69000244140625
2008-02-08	106.69999694824219	106.69999694824219	106.69999694824219	106.69999694824219
2008-02-11	106.87000274658203	106.87000274658203	106.87000274658203	106.87000274658203
2008-02-12	106.19999694824219	106.19999694824219	106.19999694824219	106.19999694824219
2008-02-13	106.3499984741211	106.3499984741211	106.3499984741211	106.3499984741211
2008-02-14	106.04000091552734	106.04000091552734	106.04000091552734	106.04000091552734
2008-02-15	104.93000030517578	104.93000030517578	104.93000030517578	104.93000030517578
2008-02-18	104.56999969482422	104.56999969482422	104.56999969482422	104.56999969482422
2008-02-19	104.77999877929688	104.77999877929688	104.77999877929688	104.77999877929688
2008-02-20	104.56999969482422	104.56999969482422	104.56999969482422	104.56999969482422
